image,from,to,cluster_size
20260116_fs_sjt_00091.jpg,val,train,45
20260116_fs_sjt_00121.jpg,val,train,45
20260116_fs_sjt_00149.jpg,val,train,45
20260116_fs_sjt_00412.jpg,val,train,45
20260116_fs_sjt_00973.jpg,val,train,45
20260320_sjt_fs_1939.jpg,val,train,45
20260320_sjt_fs_1950.jpg,val,train,45
20260320_sjt_fs_1951.jpg,val,train,45
20260320_sjt_fs_1962.jpg,val,train,45
20260320_sjt_fs_1979.jpg,val,train,45
20260320_sjt_fs_1981.jpg,val,train,45
raw_fire_relabel_dp_20664.jpg,val,train,45
20260116_fs_sjt_00597.jpg,val,train,26
20260320_sjt_fs_1649.jpg,val,train,26
20260320_sjt_fs_1650.jpg,val,train,26
20260320_sjt_fs_1673.jpg,val,train,26
20260320_sjt_fs_1674.jpg,val,train,26
20260320_sjt_fs_1707.jpg,val,train,26
20260320_sjt_fs_1708.jpg,val,train,26
20260320_sjt_fs_1435.jpg,val,train,19
20260320_sjt_fs_1791.jpg,val,train,19
20260320_sjt_fs_1800.jpg,val,train,19
20260320_sjt_fs_1818.jpg,val,train,19
20260320_sjt_fs_1835.jpg,val,train,19
20260320_sjt_fs_1886.jpg,val,train,19
20260320_sjt_fs_1895.jpg,val,train,19
20260320_sjt_fs_1901.jpg,val,train,19
20260320_sjt_fs_1922.jpg,val,train,19
20260320_sjt_fs_1508.jpg,val,train,18
20260320_sjt_fs_1509.jpg,val,train,18
20260320_sjt_fs_1526.jpg,val,train,18
20260320_sjt_fs_1535.jpg,val,train,18
20260320_sjt_fs_1554.jpg,val,train,18
20260320_sjt_fs_2051.jpg,val,train,16
20260320_sjt_fs_2061.jpg,val,train,16
20260320_sjt_fs_2077.jpg,val,train,16
20260320_sjt_fs_2080.jpg,val,train,16
20260320_sjt_fs_1580.jpg,val,train,12
20260320_sjt_fs_1581.jpg,val,train,12
20260320_sjt_fs_1606.jpg,val,train,12
20260320_sjt_fs_1617.jpg,val,train,12
20260320_sjt_fs_1761.jpg,val,train,12
20260320_sjt_fs_1773.jpg,val,train,12
20260320_sjt_fs_2005.jpg,val,train,12
20260320_sjt_fs_2021.jpg,val,train,12
20260320_sjt_fs_2022.jpg,val,train,12
20260320_sjt_fs_1354.jpg,val,train,10
0ceaac62c19eb77b75d3d34475d3615e_07695.jpg,val,train,5
20260116_fs_sjt_00359.jpg,val,train,4
20260116_fs_sjt_00429.jpg,val,train,4
20260116_fs_sjt_00240.jpg,train,val,4
20260116_fs_sjt_00588.jpg,train,val,4
20260116_fs_sjt_00649.jpg,val,train,4
20260116_fs_sjt_00731.jpg,val,train,4
20260116_fs_sjt_00371.jpg,val,train,4
20260116_fs_sjt_00507.jpg,train,val,4
20260116_fs_sjt_00810.jpg,train,val,4
20260116_fs_sjt_00540.jpg,val,train,4
20260116_fs_sjt_01046.jpg,train,val,3
20260116_fs_sjt_00921.jpg,train,val,3
20260116_fs_sjt_00622.jpg,val,train,3
20260116_fs_sjt_01063.jpg,val,train,3
20250526_firesmoke_03258.jpg,train,val,2
20250526_firesmoke_01294.jpg,train,val,2
20260116_fs_sjt_00204.jpg,val,train,2
20260116_fs_sjt_00957.jpg,train,val,2
20260116_fs_sjt_00894.jpg,val,train,2
20260116_fs_sjt_00675.jpg,train,val,2
20260116_fs_sjt_00169.jpg,train,val,2
20260116_fs_sjt_00228.jpg,train,val,2
20260116_fs_sjt_01029.jpg,val,train,2
20260116_fs_sjt_00465.jpg,train,val,2
20260116_fs_sjt_01017.jpg,val,train,2
20260116_fs_sjt_00316.jpg,train,val,2
20260116_fs_sjt_00587.jpg,train,val,2
20260116_fs_sjt_00678.jpg,train,val,2
20260116_fs_sjt_00502.jpg,train,val,2
20260116_fs_sjt_00975.jpg,val,train,2
20260116_fs_sjt_00747.jpg,train,val,2
20260116_fs_sjt_00504.jpg,val,train,2
20260116_fs_sjt_00858.jpg,val,train,2
20260116_fs_sjt_00964.jpg,train,val,2
raw_fire_relabel_dp_20590.jpg,train,val,2
raw_fire_relabel_dp_20640.jpg,train,val,2
