tau_siglip,rule,tp,fp,fn,tn,P,R,F1,is_current,is_max_f1,is_precision_leaning_Pge0.96maxR
0.0,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.001,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0011,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0015,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0021,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.004,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0046,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0051,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0056,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0059,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0095,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.01,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0115,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0189,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0194,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.02,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0224,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0225,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0229,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0232,final(rescue>=0.97),162,16,3,39,0.9101,0.9818,0.9446,False,,
0.0258,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.03,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.031,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.0319,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.0323,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.0369,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.04,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.05,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.0533,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.0586,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.06,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.07,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.08,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.0806,final(rescue>=0.97),162,15,3,40,0.9153,0.9818,0.9474,False,,
0.09,final(rescue>=0.97),162,14,3,41,0.9205,0.9818,0.9501,False,,
0.1,final(rescue>=0.97),162,14,3,41,0.9205,0.9818,0.9501,False,,
0.11,final(rescue>=0.97),162,14,3,41,0.9205,0.9818,0.9501,False,,
0.12,final(rescue>=0.97),162,14,3,41,0.9205,0.9818,0.9501,False,,
0.13,final(rescue>=0.97),162,14,3,41,0.9205,0.9818,0.9501,False,,
0.1346,final(rescue>=0.97),162,14,3,41,0.9205,0.9818,0.9501,False,,
0.1376,final(rescue>=0.97),162,13,3,42,0.9257,0.9818,0.9529,False,,
0.1392,final(rescue>=0.97),162,12,3,43,0.931,0.9818,0.9558,False,,
0.14,final(rescue>=0.97),162,12,3,43,0.931,0.9818,0.9558,False,,
0.15,final(rescue>=0.97),162,12,3,43,0.931,0.9818,0.9558,False,,
0.152,final(rescue>=0.97),162,12,3,43,0.931,0.9818,0.9558,False,,
0.1554,final(rescue>=0.97),162,11,3,44,0.9364,0.9818,0.9586,False,,
0.16,final(rescue>=0.97),162,11,3,44,0.9364,0.9818,0.9586,False,,
0.17,final(rescue>=0.97),162,11,3,44,0.9364,0.9818,0.9586,False,,
0.1708,final(rescue>=0.97),162,10,3,45,0.9419,0.9818,0.9614,False,,
0.1749,final(rescue>=0.97),162,10,3,45,0.9419,0.9818,0.9614,False,,
0.18,final(rescue>=0.97),162,10,3,45,0.9419,0.9818,0.9614,False,,
0.1827,final(rescue>=0.97),162,10,3,45,0.9419,0.9818,0.9614,False,,
0.1893,final(rescue>=0.97),162,10,3,45,0.9419,0.9818,0.9614,False,,
0.19,final(rescue>=0.97),162,10,3,45,0.9419,0.9818,0.9614,False,,
0.1913,final(rescue>=0.97),162,10,3,45,0.9419,0.9818,0.9614,False,,
0.1956,final(rescue>=0.97),162,10,3,45,0.9419,0.9818,0.9614,False,,
0.2,final(rescue>=0.97),162,10,3,45,0.9419,0.9818,0.9614,False,,
