epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.631,1.8147,9.74283,0.00778,0.31791,0.22059,0.16585,0.08131,1.82995,3.94807,0.00359,0.000662857,0.000662857,0.000662857
2,179.438,2.33216,3.61848,0.01274,0.32885,0.41667,0.25907,0.09863,2.27332,3.16335,0.0051,0.00131307,0.00131307,0.00131307
3,257.393,2.41305,3.47409,0.01238,0.30088,0.34388,0.22143,0.05895,2.63264,3.39475,0.00576,0.00194678,0.00194678,0.00194678
4,333.446,2.43675,3.14315,0.01239,0.3123,0.30392,0.25398,0.07282,2.73686,2.72774,0.00604,0.00192575,0.00192575,0.00192575
5,410.174,2.51661,3.21955,0.01311,0.30407,0.28922,0.27334,0.09223,2.55199,2.50675,0.0058,0.001901,0.001901,0.001901
6,487.496,2.51117,3.19527,0.01422,0.46553,0.16176,0.20425,0.05536,2.82922,2.86911,0.00636,0.00187625,0.00187625,0.00187625
7,563.701,2.44515,3.06705,0.01283,0.39891,0.44118,0.35574,0.11557,2.45528,2.10614,0.00503,0.0018515,0.0018515,0.0018515
8,643.389,2.38763,2.98872,0.01282,0.56147,0.31373,0.36148,0.13445,2.39434,2.61458,0.00493,0.00182675,0.00182675,0.00182675
9,742.324,2.33619,2.99532,0.01231,0.44787,0.51471,0.46903,0.21289,1.98753,1.85873,0.00431,0.001802,0.001802,0.001802
10,816.132,2.21868,2.91299,0.01201,0.48599,0.41667,0.38722,0.14075,2.09262,1.98242,0.00443,0.00177725,0.00177725,0.00177725
11,888.759,2.28105,2.85167,0.01177,0.38548,0.47549,0.40441,0.14805,2.40076,2.34591,0.00541,0.0017525,0.0017525,0.0017525
12,961.278,2.20761,2.94993,0.01245,0.57476,0.43627,0.48083,0.19572,2.10957,1.93086,0.00445,0.00172775,0.00172775,0.00172775
13,1033.8,2.16512,2.72585,0.01214,0.60419,0.46569,0.52413,0.23796,2.05033,1.70908,0.00407,0.001703,0.001703,0.001703
14,1107.97,2.18326,2.75828,0.01141,0.66045,0.4386,0.53663,0.24284,2.01357,1.913,0.00415,0.00167825,0.00167825,0.00167825
15,1180.97,2.19889,2.65169,0.01109,0.39029,0.48039,0.3908,0.18664,2.06742,1.70799,0.00449,0.0016535,0.0016535,0.0016535
16,1273.49,2.15603,2.52903,0.01157,0.47906,0.53431,0.46662,0.19558,2.08002,1.69205,0.00425,0.00162875,0.00162875,0.00162875
17,1373.75,2.21203,2.56855,0.01132,0.51977,0.47059,0.47531,0.20082,2.03771,1.74015,0.00441,0.001604,0.001604,0.001604
18,1485.34,2.08531,2.55298,0.01045,0.44393,0.52941,0.4893,0.19622,2.11769,1.80233,0.00438,0.00157925,0.00157925,0.00157925
19,1610.52,2.00607,2.48078,0.01021,0.60175,0.5,0.52983,0.27258,1.8244,1.79025,0.00367,0.0015545,0.0015545,0.0015545
20,1732.2,2.08237,2.49947,0.0112,0.47579,0.42712,0.452,0.19973,2.02624,2.05171,0.004,0.00152975,0.00152975,0.00152975
21,1858.25,2.02983,2.45373,0.01057,0.57927,0.47059,0.50934,0.25348,1.81682,1.69169,0.0038,0.001505,0.001505,0.001505
22,1954.01,2.03033,2.47807,0.01001,0.69702,0.47549,0.56446,0.27357,1.85173,1.74893,0.00375,0.00148025,0.00148025,0.00148025
23,2038.26,2.00308,2.43093,0.01001,0.46731,0.44294,0.43423,0.19921,1.9486,1.66225,0.00383,0.0014555,0.0014555,0.0014555
24,2113.67,2.01393,2.37031,0.01036,0.68234,0.45098,0.55816,0.28295,1.83547,1.63031,0.00348,0.00143075,0.00143075,0.00143075
25,2189.69,1.95301,2.36628,0.01045,0.50363,0.53922,0.49556,0.25132,1.76718,1.63836,0.00373,0.001406,0.001406,0.001406
26,2265.72,1.96812,2.20494,0.01023,0.65676,0.62745,0.65396,0.31095,1.95371,1.28205,0.00426,0.00138125,0.00138125,0.00138125
27,2341.72,1.92643,2.1954,0.01013,0.44524,0.48039,0.4914,0.26636,1.67688,1.55609,0.00332,0.0013565,0.0013565,0.0013565
28,2416.39,1.92023,2.24286,0.01036,0.49146,0.45588,0.47431,0.23473,1.80886,1.71457,0.00371,0.00133175,0.00133175,0.00133175
