epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7268,1.77553,5.75506,0.00743,0.53382,0.31997,0.31085,0.15645,1.62335,3.7108,0.00318,0.000659091,0.000659091,0.000659091
2,131.213,1.95064,2.96578,0.00908,0.55674,0.46078,0.45559,0.20826,1.90198,2.13586,0.00383,0.00130935,0.00130935,0.00130935
3,182.792,2.18322,2.87199,0.01127,0.4622,0.33333,0.32081,0.15031,1.98823,2.36215,0.00461,0.00194311,0.00194311,0.00194311
4,233.296,2.17938,2.63177,0.01131,0.43317,0.32353,0.29329,0.11567,2.14805,2.22641,0.00482,0.00192575,0.00192575,0.00192575
5,283.969,2.24563,2.75938,0.01133,0.24284,0.30882,0.19356,0.08797,1.99801,2.54739,0.00433,0.001901,0.001901,0.001901
6,335.735,2.05829,2.7288,0.01114,0.63509,0.37745,0.44616,0.1974,1.91802,2.12319,0.00415,0.00187625,0.00187625,0.00187625
7,387.045,2.11085,2.46572,0.01059,0.55463,0.39216,0.39786,0.18625,2.08296,2.05971,0.00431,0.0018515,0.0018515,0.0018515
8,437.444,2.07018,2.43103,0.00978,0.60546,0.42127,0.49746,0.20678,2.12549,1.97679,0.00454,0.00182675,0.00182675,0.00182675
9,487.722,2.12447,2.44089,0.01034,0.44959,0.35784,0.34442,0.15338,2.18699,2.60778,0.005,0.001802,0.001802,0.001802
10,538.176,2.07651,2.45227,0.01017,0.53927,0.44118,0.48767,0.23623,1.95993,1.78458,0.00415,0.00177725,0.00177725,0.00177725
11,589.308,2.00534,2.30923,0.00934,0.58137,0.46293,0.49463,0.23641,1.89217,2.18852,0.00394,0.0017525,0.0017525,0.0017525
12,640.263,1.96596,2.27496,0.00941,0.52535,0.58597,0.57904,0.27437,1.87664,1.61529,0.00373,0.00172775,0.00172775,0.00172775
13,690.945,1.9733,2.26372,0.00996,0.58055,0.54278,0.54939,0.22298,2.16962,1.87459,0.00442,0.001703,0.001703,0.001703
14,741.774,1.99557,2.17353,0.00937,0.64525,0.42157,0.54454,0.32501,1.61216,1.56422,0.00316,0.00167825,0.00167825,0.00167825
15,792.221,1.98109,2.22258,0.01001,0.51075,0.46056,0.44828,0.22423,1.83532,1.85713,0.0036,0.0016535,0.0016535,0.0016535
16,842.614,1.96415,2.15765,0.0095,0.59676,0.5098,0.56682,0.29729,1.83404,1.38549,0.00384,0.00162875,0.00162875,0.00162875
17,893.178,1.93457,2.09865,0.00891,0.69509,0.48039,0.60156,0.33534,1.66842,1.64474,0.00331,0.001604,0.001604,0.001604
18,944.239,1.85451,2.10729,0.0086,0.70669,0.43627,0.55311,0.28903,1.66792,1.78097,0.0036,0.00157925,0.00157925,0.00157925
19,995.087,1.92701,1.99587,0.00887,0.57692,0.53922,0.56265,0.30352,1.66244,1.4056,0.0033,0.0015545,0.0015545,0.0015545
20,1045.56,1.92587,1.96624,0.00883,0.64589,0.53431,0.56795,0.28417,1.84291,1.52151,0.0037,0.00152975,0.00152975,0.00152975
21,1097.44,1.92914,1.9416,0.00901,0.50881,0.43161,0.44436,0.22891,1.78644,1.64348,0.00381,0.001505,0.001505,0.001505
22,1151.43,1.86545,1.86742,0.00874,0.60161,0.52941,0.53407,0.28703,1.70825,1.53116,0.00366,0.00148025,0.00148025,0.00148025
23,1201.59,1.8336,1.86896,0.00937,0.57208,0.57843,0.56401,0.31368,1.64635,1.43318,0.00348,0.0014555,0.0014555,0.0014555
24,1252.86,1.81264,1.85747,0.00822,0.58776,0.49624,0.52961,0.29182,1.65287,1.50659,0.00338,0.00143075,0.00143075,0.00143075
25,1303.24,1.84025,1.88931,0.00882,0.60614,0.51471,0.56686,0.32109,1.6572,1.39015,0.00357,0.001406,0.001406,0.001406
26,1354.02,1.83478,1.78003,0.00939,0.51306,0.61275,0.60921,0.33167,1.67487,1.30815,0.0035,0.00138125,0.00138125,0.00138125
27,1404.61,1.8628,1.80449,0.00873,0.49055,0.47549,0.46161,0.24572,1.7042,1.76296,0.00365,0.0013565,0.0013565,0.0013565
28,1455.29,1.84627,1.80731,0.0086,0.58413,0.58333,0.5803,0.31824,1.62425,1.49517,0.00328,0.00133175,0.00133175,0.00133175
29,1505.95,1.75888,1.738,0.0084,0.48157,0.55392,0.49853,0.27057,1.69801,1.55408,0.00365,0.001307,0.001307,0.001307
30,1557.39,1.77651,1.74329,0.00828,0.58601,0.62255,0.58384,0.33484,1.60853,1.35912,0.00334,0.00128225,0.00128225,0.00128225
31,1607.99,1.79655,1.68187,0.00891,0.60162,0.59314,0.58529,0.32139,1.67596,1.34253,0.00331,0.0012575,0.0012575,0.0012575
32,1658.43,1.7498,1.6616,0.00815,0.74118,0.58333,0.68396,0.35309,1.74996,1.31628,0.00381,0.00123275,0.00123275,0.00123275
33,1709.25,1.75366,1.67335,0.0078,0.60439,0.58333,0.62874,0.36812,1.55327,1.43974,0.00315,0.001208,0.001208,0.001208
34,1760.26,1.74576,1.53,0.00811,0.59061,0.61526,0.6056,0.34666,1.52863,1.35917,0.00308,0.00118325,0.00118325,0.00118325
35,1811.05,1.703,1.52048,0.0079,0.69999,0.5049,0.62227,0.33985,1.65083,1.41003,0.00335,0.0011585,0.0011585,0.0011585
36,1862.38,1.71773,1.55869,0.00809,0.60004,0.54421,0.58829,0.3233,1.64566,1.29849,0.00333,0.00113375,0.00113375,0.00113375
37,1912.76,1.674,1.56129,0.0081,0.69188,0.5098,0.59788,0.3483,1.58731,1.45597,0.00328,0.001109,0.001109,0.001109
38,1963.15,1.65323,1.58381,0.00737,0.61651,0.45707,0.48667,0.26968,1.73991,1.90544,0.00346,0.00108425,0.00108425,0.00108425
39,2013.87,1.65365,1.53575,0.00753,0.69243,0.50766,0.58747,0.3151,1.68785,1.33126,0.00343,0.0010595,0.0010595,0.0010595
40,2064.43,1.62645,1.54558,0.0074,0.58155,0.55882,0.58883,0.30971,1.69811,1.47292,0.00345,0.00103475,0.00103475,0.00103475
41,2114.93,1.69217,1.46326,0.00796,0.55978,0.63235,0.62549,0.35241,1.66041,1.26784,0.00346,0.00101,0.00101,0.00101
42,2166.06,1.65704,1.42433,0.00744,0.57842,0.58333,0.59088,0.34085,1.62428,1.30228,0.00315,0.00098525,0.00098525,0.00098525
43,2216.54,1.69038,1.52029,0.00831,0.60387,0.62745,0.62734,0.33517,1.66265,1.33124,0.00342,0.0009605,0.0009605,0.0009605
44,2266.88,1.62419,1.44273,0.00713,0.72391,0.52451,0.62222,0.37244,1.54052,1.29458,0.00312,0.00093575,0.00093575,0.00093575
45,2317.14,1.60525,1.34985,0.00767,0.66004,0.60784,0.66815,0.39147,1.56624,1.21169,0.00313,0.000911,0.000911,0.000911
46,2367.74,1.59096,1.36414,0.00761,0.71371,0.63547,0.66339,0.37353,1.667,1.16484,0.00353,0.00088625,0.00088625,0.00088625
47,2418.28,1.60849,1.40441,0.00762,0.77709,0.54412,0.68169,0.3987,1.5368,1.14935,0.00318,0.0008615,0.0008615,0.0008615
48,2469.49,1.55582,1.31458,0.00795,0.6559,0.6167,0.66244,0.38347,1.60132,1.30539,0.00312,0.00083675,0.00083675,0.00083675
49,2519.94,1.57307,1.29476,0.00787,0.77238,0.58824,0.69691,0.39343,1.56465,1.1539,0.00322,0.000812,0.000812,0.000812
50,2570.64,1.53777,1.22851,0.00684,0.7612,0.56251,0.69684,0.40551,1.48855,1.2077,0.00304,0.00078725,0.00078725,0.00078725
51,2621.04,1.52171,1.30105,0.00755,0.67534,0.56083,0.65706,0.37537,1.64166,1.28226,0.00331,0.0007625,0.0007625,0.0007625
52,2671.3,1.57448,1.33384,0.00737,0.64676,0.55882,0.62034,0.35616,1.59309,1.32321,0.00327,0.00073775,0.00073775,0.00073775
53,2721.74,1.5081,1.22408,0.00746,0.5796,0.57353,0.60077,0.33875,1.54774,1.34824,0.00327,0.000713,0.000713,0.000713
54,2773.28,1.48925,1.17347,0.007,0.73263,0.5,0.62189,0.3585,1.56117,1.44513,0.00316,0.00068825,0.00068825,0.00068825
55,2823.94,1.49395,1.20494,0.00677,0.71573,0.58333,0.66626,0.38113,1.59396,1.25604,0.00331,0.0006635,0.0006635,0.0006635
56,2874.46,1.45927,1.14819,0.00673,0.58622,0.59804,0.62693,0.37733,1.55511,1.2971,0.00316,0.00063875,0.00063875,0.00063875
57,2925.29,1.46189,1.1865,0.0064,0.62469,0.66176,0.66895,0.37681,1.61369,1.24904,0.00327,0.000614,0.000614,0.000614
58,2975.58,1.51021,1.14586,0.00706,0.76027,0.55392,0.65693,0.36648,1.63056,1.2476,0.0034,0.00058925,0.00058925,0.00058925
59,3026.16,1.46822,1.10929,0.00674,0.67107,0.61006,0.66151,0.37792,1.58664,1.25917,0.00325,0.0005645,0.0005645,0.0005645
60,3076.89,1.41705,1.10812,0.00689,0.65445,0.64061,0.67806,0.39247,1.50343,1.18953,0.00312,0.00053975,0.00053975,0.00053975
61,3127.41,1.40345,1.07781,0.00669,0.66287,0.64577,0.67307,0.40076,1.54335,1.24265,0.00313,0.000515,0.000515,0.000515
62,3178.33,1.41697,1.08265,0.00716,0.60019,0.59606,0.60069,0.34494,1.5539,1.42846,0.00311,0.00049025,0.00049025,0.00049025
63,3229.01,1.40632,1.07678,0.00638,0.63756,0.62745,0.63856,0.37285,1.55617,1.25622,0.00314,0.0004655,0.0004655,0.0004655
64,3279.67,1.40618,1.02204,0.00581,0.59225,0.64216,0.62069,0.3556,1.57812,1.2719,0.00315,0.00044075,0.00044075,0.00044075
65,3330.21,1.43082,1.01198,0.00609,0.61328,0.64706,0.61194,0.35597,1.54514,1.31555,0.00321,0.000416,0.000416,0.000416
66,3380.32,1.37772,1.03175,0.00609,0.69669,0.63725,0.67284,0.38952,1.56138,1.19023,0.00314,0.00039125,0.00039125,0.00039125
67,3430.65,1.40423,1.00509,0.00586,0.5798,0.60784,0.59906,0.34855,1.52239,1.48358,0.00313,0.0003665,0.0003665,0.0003665
68,3481.29,1.35562,0.93108,0.00588,0.60949,0.56863,0.62563,0.36333,1.55268,1.33954,0.00318,0.00034175,0.00034175,0.00034175
69,3531.81,1.37995,1.00247,0.00596,0.6317,0.69118,0.67351,0.39497,1.51132,1.22326,0.00306,0.000317,0.000317,0.000317
70,3582.26,1.38594,0.96816,0.00626,0.70542,0.63388,0.68657,0.39556,1.55824,1.1534,0.00328,0.00029225,0.00029225,0.00029225
