epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1607,1.79255,5.88371,0.00808,0.36948,0.34804,0.27442,0.12068,1.74664,3.49234,0.00358,0.000659091,0.000659091,0.000659091
2,127.942,2.01001,3.13621,0.00987,0.42149,0.38235,0.35642,0.17491,1.78947,2.44621,0.00358,0.00130935,0.00130935,0.00130935
3,179.016,2.22378,3.08015,0.01091,0.33923,0.36275,0.26691,0.0986,2.13582,2.35604,0.00493,0.00194311,0.00194311,0.00194311
4,230.225,2.30142,2.85326,0.01129,0.38541,0.32843,0.30231,0.12128,2.17605,2.39095,0.00489,0.00192575,0.00192575,0.00192575
5,281.034,2.2686,2.91434,0.01085,0.5163,0.45588,0.45198,0.18102,2.10403,1.75668,0.00442,0.001901,0.001901,0.001901
6,333.104,2.21874,2.7043,0.0104,0.45055,0.29902,0.35517,0.13836,2.14235,2.00005,0.00475,0.00187625,0.00187625,0.00187625
7,384.842,2.22011,2.62896,0.0112,0.38643,0.48529,0.43645,0.17839,2.02894,1.92285,0.00446,0.0018515,0.0018515,0.0018515
8,435.794,2.21694,2.60813,0.01091,0.55787,0.43627,0.44744,0.14658,2.41804,1.94829,0.00527,0.00182675,0.00182675,0.00182675
9,486.782,2.2136,2.60232,0.01078,0.61245,0.45706,0.52429,0.2378,1.97793,1.82565,0.00433,0.001802,0.001802,0.001802
10,537.503,2.1145,2.66501,0.0103,0.56555,0.46569,0.50788,0.21921,1.99852,1.65944,0.00415,0.00177725,0.00177725,0.00177725
11,588.969,2.16727,2.60143,0.01052,0.63644,0.41667,0.49533,0.18712,2.19508,1.94466,0.00472,0.0017525,0.0017525,0.0017525
12,640.603,2.12201,2.52696,0.01127,0.66856,0.53395,0.60781,0.30623,1.7921,1.53739,0.00378,0.00172775,0.00172775,0.00172775
