epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.954,1.75251,11.6661,0.00764,0.17574,0.20168,0.08935,0.03487,2.26416,5.18177,0.01273,0.000660606,0.000660606,0.000660606
2,138.199,2.23249,3.27269,0.01036,0.31402,0.20168,0.1012,0.03231,2.57787,6.1473,0.01651,0.00131085,0.00131085,0.00131085
3,368.695,2.41736,3.17495,0.01196,0.13803,0.07983,0.04061,0.01274,nan,nan,nan,0.00194459,0.00194459,0.00194459
4,503.638,2.43648,3.07095,0.01206,0.36711,0.2437,0.22246,0.07691,2.56198,3.07108,0.01449,0.00192575,0.00192575,0.00192575
5,569.083,2.43938,3.12624,0.01283,0.3225,0.2437,0.20311,0.06381,2.4819,4.19603,0.0149,0.001901,0.001901,0.001901
6,634.815,2.35391,3.00325,0.01139,0.39763,0.29412,0.27281,0.10169,2.24513,2.69451,0.01178,0.00187625,0.00187625,0.00187625
7,700.823,2.31589,2.93939,0.01079,0.29278,0.31933,0.24779,0.08402,2.25505,2.73243,0.01129,0.0018515,0.0018515,0.0018515
8,767.776,2.24865,2.74981,0.01136,0.3801,0.29832,0.26763,0.10589,2.20341,2.49394,0.01211,0.00182675,0.00182675,0.00182675
9,835.388,2.24054,2.73854,0.01092,0.37627,0.34454,0.29818,0.12039,2.22469,2.84773,0.0118,0.001802,0.001802,0.001802
10,903.246,2.20085,2.68454,0.01057,0.39427,0.34034,0.3161,0.13719,2.2739,2.47311,0.01227,0.00177725,0.00177725,0.00177725
11,971.393,2.23967,2.66792,0.01026,0.47879,0.35896,0.35292,0.13704,2.27092,2.40493,0.01254,0.0017525,0.0017525,0.0017525
12,1039.21,2.18484,2.54028,0.01067,0.42252,0.31513,0.31983,0.14576,2.11751,2.35795,0.01148,0.00172775,0.00172775,0.00172775
13,1108.65,2.17105,2.45857,0.01051,0.50033,0.35714,0.35877,0.17505,2.03693,2.52208,0.01116,0.001703,0.001703,0.001703
14,1176.7,2.15905,2.43906,0.01017,0.46899,0.35294,0.34373,0.1429,2.02756,2.22799,0.00997,0.00167825,0.00167825,0.00167825
15,1272.52,2.09168,2.39191,0.0098,0.49556,0.39916,0.41047,0.16517,2.09803,2.37503,0.01104,0.0016535,0.0016535,0.0016535
16,1498.03,2.05023,2.41903,0.00978,0.57266,0.34034,0.40316,0.1965,1.98155,2.33108,0.0105,0.00162875,0.00162875,0.00162875
17,1612.2,2.06896,2.368,0.00946,0.38987,0.31092,0.30203,0.14011,2.05222,2.56441,0.01102,0.001604,0.001604,0.001604
18,1830.04,1.99725,2.26454,0.00861,0.48915,0.37818,0.41058,0.19642,1.87451,2.09519,0.00919,0.00157925,0.00157925,0.00157925
19,2056.22,1.9848,2.25517,0.00949,0.48446,0.39916,0.38908,0.17694,1.99987,2.61535,0.01079,0.0015545,0.0015545,0.0015545
20,2145.06,1.98552,2.17874,0.00951,0.49899,0.44538,0.45325,0.22724,1.94819,2.09879,0.01001,0.00152975,0.00152975,0.00152975
