epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.096,1.91925,9.33745,0.00761,0.51197,0.20718,0.23141,0.09167,2.23198,3.9003,0.01193,0.000663636,0.000663636,0.000663636
2,573.535,2.35713,3.55531,0.01102,0.30094,0.22269,0.1536,0.04318,2.54124,3.72051,0.01508,0.00131384,0.00131384,0.00131384
3,871.39,2.45066,3.33816,0.01186,0.19388,0.13025,0.08092,0.01901,2.91778,nan,0.01914,0.00194754,0.00194754,0.00194754
4,1157.75,2.53961,3.36623,0.01284,0.30432,0.18908,0.12193,0.04467,2.55953,4.78402,0.01439,0.00192575,0.00192575,0.00192575
5,1432.75,2.48248,3.06643,0.01191,0.33563,0.32353,0.26478,0.10421,2.35252,2.58392,0.01329,0.001901,0.001901,0.001901
6,1710.58,2.47193,3.11195,0.01102,0.30002,0.2563,0.19993,0.07544,2.24049,3.72129,0.01252,0.00187625,0.00187625,0.00187625
7,1994.12,2.36896,2.99094,0.01068,0.31337,0.2437,0.18795,0.06473,2.27253,2.92621,0.01232,0.0018515,0.0018515,0.0018515
8,2282.12,2.32913,2.9132,0.01122,0.4335,0.2605,0.26146,0.10037,2.17258,3.20835,0.01209,0.00182675,0.00182675,0.00182675
9,2572.96,2.24866,2.86135,0.01069,0.33569,0.28151,0.24672,0.10759,2.19924,2.82117,0.01175,0.001802,0.001802,0.001802
10,2867.04,2.26159,2.8725,0.01123,0.41898,0.31092,0.29771,0.12702,2.03542,2.49254,0.01122,0.00177725,0.00177725,0.00177725
11,3115.47,2.19849,2.86027,0.01011,0.33031,0.28571,0.23701,0.07292,2.2997,2.92777,0.01219,0.0017525,0.0017525,0.0017525
12,3185.32,2.14518,2.73144,0.01027,0.42222,0.30672,0.3023,0.12622,2.01326,2.54545,0.01175,0.00172775,0.00172775,0.00172775
