epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5884,1.72216,12.7821,0.00653,0.00123,0.34034,0.03185,0.01629,1.62457,17.1249,0.00738,0.000654545,0.000654545,0.000654545
2,88.178,1.75528,9.21415,0.00675,0.47653,0.14536,0.19272,0.09633,1.81287,12.0465,0.00845,0.00129505,0.00129505,0.00129505
3,128.226,1.86247,6.505,0.00734,0.37151,0.21849,0.21968,0.09595,1.94862,6.95139,0.00952,0.00190916,0.00190916,0.00190916
4,168.307,1.8799,4.73939,0.00732,0.28839,0.30252,0.21805,0.08791,1.9528,5.12513,0.00946,0.0018812,0.0018812,0.0018812
5,208.364,1.88121,3.59605,0.00751,0.39871,0.27861,0.26274,0.10879,1.90292,3.86381,0.00916,0.0018416,0.0018416,0.0018416
6,250.016,1.91501,3.15157,0.0084,0.39233,0.31513,0.30564,0.13154,1.99269,3.28353,0.00987,0.001802,0.001802,0.001802
7,290.072,1.90788,2.74086,0.00721,0.53676,0.28238,0.32916,0.15016,1.90589,2.86673,0.00911,0.0017624,0.0017624,0.0017624
8,332.026,1.91069,2.57478,0.00757,0.5141,0.36134,0.3956,0.18564,1.93714,2.5376,0.00974,0.0017228,0.0017228,0.0017228
9,373.882,1.85671,2.43182,0.00729,0.46028,0.43277,0.40571,0.19499,1.86905,2.62314,0.00934,0.0016832,0.0016832,0.0016832
10,414.783,1.86212,2.31235,0.00738,0.47162,0.43879,0.40395,0.18503,1.89729,2.23067,0.00914,0.0016436,0.0016436,0.0016436
11,454.98,1.84957,2.18999,0.00718,0.48869,0.41176,0.43024,0.20048,1.84395,2.07133,0.00866,0.001604,0.001604,0.001604
12,494.709,1.81764,2.08633,0.00699,0.44538,0.48739,0.43984,0.19757,1.86074,2.08771,0.00874,0.0015644,0.0015644,0.0015644
13,534.62,1.80243,2.01486,0.00737,0.52613,0.42017,0.42296,0.19432,1.81831,2.15986,0.00856,0.0015248,0.0015248,0.0015248
14,574.671,1.78622,2.03669,0.00714,0.5816,0.42437,0.46836,0.22479,1.83052,2.00101,0.00886,0.0014852,0.0014852,0.0014852
15,614.243,1.74766,1.90015,0.00681,0.57777,0.35714,0.4241,0.20999,1.87102,2.00197,0.00877,0.0014456,0.0014456,0.0014456
16,653.695,1.78555,1.89163,0.00692,0.44463,0.45378,0.40002,0.19574,1.86435,2.06847,0.00909,0.001406,0.001406,0.001406
17,693.712,1.7836,1.86219,0.00755,0.48578,0.48739,0.47105,0.22966,1.76779,1.83495,0.00834,0.0013664,0.0013664,0.0013664
18,733.643,1.74557,1.78714,0.007,0.6165,0.41597,0.48016,0.2474,1.74896,1.96304,0.00799,0.0013268,0.0013268,0.0013268
19,773.865,1.74053,1.80274,0.00702,0.50501,0.46639,0.463,0.23447,1.75986,1.90588,0.00843,0.0012872,0.0012872,0.0012872
20,814.137,1.74997,1.8208,0.00694,0.60009,0.43277,0.49271,0.25926,1.77081,1.81851,0.00838,0.0012476,0.0012476,0.0012476
21,854.925,1.74459,1.68654,0.00663,0.54865,0.5084,0.49684,0.25042,1.84553,1.75938,0.00991,0.001208,0.001208,0.001208
22,895.963,1.65949,1.65868,0.00693,0.52765,0.46639,0.48911,0.25533,1.73648,1.73972,0.00814,0.0011684,0.0011684,0.0011684
23,938.1,1.70539,1.64109,0.00685,0.52605,0.4958,0.52554,0.27274,1.76796,1.71869,0.0087,0.0011288,0.0011288,0.0011288
24,979.61,1.70517,1.68443,0.00683,0.54268,0.48862,0.51263,0.23581,1.82354,1.83608,0.00858,0.0010892,0.0010892,0.0010892
25,1021.13,1.67251,1.58767,0.00697,0.64707,0.47762,0.52098,0.26423,1.74049,1.64934,0.00888,0.0010496,0.0010496,0.0010496
26,1062.94,1.6552,1.52424,0.00622,0.59557,0.46639,0.51691,0.26817,1.72354,1.73391,0.00825,0.00101,0.00101,0.00101
27,1104.95,1.70355,1.52365,0.00612,0.55309,0.47899,0.49699,0.27311,1.69707,1.73417,0.00788,0.0009704,0.0009704,0.0009704
28,1146.47,1.62198,1.43547,0.00576,0.5476,0.52101,0.52858,0.27954,1.67012,1.57507,0.00797,0.0009308,0.0009308,0.0009308
29,1188.36,1.60404,1.39209,0.00615,0.59997,0.52941,0.54693,0.28637,1.64671,1.5634,0.00787,0.0008912,0.0008912,0.0008912
30,1306.69,1.59918,1.33931,0.00604,0.52414,0.48739,0.4793,0.27004,1.73257,1.68647,0.00858,0.0008516,0.0008516,0.0008516
31,1486.48,1.60251,1.34381,0.00609,0.59895,0.47479,0.53699,0.28079,1.73978,1.54313,0.0082,0.000812,0.000812,0.000812
32,1662.8,1.60048,1.38766,0.00647,0.63337,0.52989,0.54877,0.27905,1.76396,1.5709,0.00856,0.0007724,0.0007724,0.0007724
33,1841.63,1.52853,1.30911,0.00627,0.53097,0.51848,0.52188,0.2733,1.78281,1.63329,0.00847,0.0007328,0.0007328,0.0007328
34,1955.93,1.55009,1.28083,0.00602,0.56649,0.49416,0.53653,0.30052,1.6959,1.54648,0.00835,0.0006932,0.0006932,0.0006932
35,1996.35,1.52351,1.2008,0.00622,0.61586,0.5187,0.53977,0.28687,1.75431,1.51722,0.00854,0.0006536,0.0006536,0.0006536
36,2037.88,1.54061,1.27083,0.00615,0.68307,0.47899,0.56907,0.31699,1.63657,1.52207,0.00812,0.000614,0.000614,0.000614
37,2079.15,1.54114,1.15563,0.00543,0.66674,0.45798,0.53175,0.29362,1.67479,1.59436,0.00825,0.0005744,0.0005744,0.0005744
38,2119.97,1.50345,1.12464,0.00557,0.64685,0.51261,0.55998,0.30714,1.68137,1.51643,0.00808,0.0005348,0.0005348,0.0005348
39,2160.51,1.47861,1.13538,0.00555,0.64481,0.47899,0.544,0.30285,1.66029,1.50196,0.00847,0.0004952,0.0004952,0.0004952
40,2200.98,1.45736,1.09807,0.00513,0.59915,0.49615,0.55856,0.31115,1.66051,1.52664,0.00835,0.0004556,0.0004556,0.0004556
