epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.504,1.7677,5.58479,0.00702,0.19242,0.30252,0.12535,0.0495,1.90542,4.95212,0.01018,0.000660606,0.000660606,0.000660606
2,160.945,2.00099,2.90577,0.00864,0.41097,0.27731,0.26236,0.10484,2.12088,2.76979,0.01169,0.00131085,0.00131085,0.00131085
3,211.066,2.14368,3.00977,0.00952,0.22208,0.33613,0.13117,0.05117,2.23604,4.31987,0.01228,0.00194459,0.00194459,0.00194459
4,261.52,2.2508,2.77035,0.00997,0.4536,0.30672,0.29639,0.10858,2.1893,2.5498,0.01091,0.00192575,0.00192575,0.00192575
5,312.784,2.1527,2.56787,0.00952,0.4491,0.28431,0.28841,0.1251,2.17567,2.45851,0.01134,0.001901,0.001901,0.001901
6,363.204,2.12994,2.43185,0.00976,0.4463,0.30672,0.3158,0.13414,2.11894,2.59697,0.01161,0.00187625,0.00187625,0.00187625
7,413.48,2.12684,2.40975,0.00919,0.46185,0.32353,0.36154,0.16274,2.03518,2.49603,0.01124,0.0018515,0.0018515,0.0018515
8,464.101,2.11584,2.32944,0.00981,0.38529,0.40756,0.36636,0.16955,2.12607,2.21848,0.01174,0.00182675,0.00182675,0.00182675
9,514.819,2.14971,2.31862,0.01027,0.55077,0.35294,0.42988,0.19219,2.08083,2.09682,0.01136,0.001802,0.001802,0.001802
10,565.604,2.08581,2.19523,0.00964,0.46832,0.42561,0.43058,0.20124,2.0584,2.03268,0.01156,0.00177725,0.00177725,0.00177725
11,616.494,2.05142,2.21424,0.00899,0.37386,0.33193,0.30351,0.14491,1.96569,2.42562,0.01057,0.0017525,0.0017525,0.0017525
12,667.044,2.01404,2.12467,0.00953,0.52735,0.38235,0.40482,0.17604,2.01184,2.27127,0.01124,0.00172775,0.00172775,0.00172775
13,836.438,1.94309,1.98485,0.00839,0.51597,0.42998,0.45819,0.20879,2.01412,1.85932,0.01072,0.001703,0.001703,0.001703
14,1034.5,1.96193,1.99087,0.0086,0.47443,0.45378,0.4522,0.22663,1.81951,1.81673,0.00955,0.00167825,0.00167825,0.00167825
15,1104.27,1.98006,1.9109,0.00845,0.53317,0.4319,0.44534,0.22238,1.87011,1.95181,0.00988,0.0016535,0.0016535,0.0016535
16,1155.64,1.97491,2.04084,0.00925,0.4763,0.44329,0.42281,0.20847,1.8947,2.05958,0.00967,0.00162875,0.00162875,0.00162875
17,1206.94,2.00746,1.97032,0.00866,0.54803,0.44324,0.44962,0.2286,1.89793,2.0185,0.01005,0.001604,0.001604,0.001604
18,1257.87,1.96084,1.9481,0.00791,0.57657,0.38655,0.44086,0.22601,1.82195,1.88735,0.00929,0.00157925,0.00157925,0.00157925
19,1309.27,1.87293,1.92998,0.00873,0.56691,0.42857,0.44239,0.20761,1.96501,1.77536,0.00982,0.0015545,0.0015545,0.0015545
20,1360.73,1.85724,1.91154,0.00823,0.52246,0.5042,0.51365,0.25605,1.80699,1.71195,0.00982,0.00152975,0.00152975,0.00152975
21,1414.44,1.86662,1.90933,0.0084,0.5136,0.44366,0.45898,0.23091,1.85208,1.8204,0.0096,0.001505,0.001505,0.001505
22,1469.47,1.82607,1.88086,0.00848,0.64825,0.40756,0.50566,0.26348,1.81007,1.59473,0.00932,0.00148025,0.00148025,0.00148025
23,1522.71,1.85399,1.82078,0.00832,0.57431,0.44215,0.5056,0.25726,1.8523,1.66405,0.00984,0.0014555,0.0014555,0.0014555
24,1575.7,1.88571,1.88976,0.00796,0.58558,0.40336,0.46665,0.23274,1.82929,1.9824,0.00959,0.00143075,0.00143075,0.00143075
25,1627.69,1.83206,1.79368,0.00852,0.58427,0.50194,0.53505,0.27736,1.77719,1.62856,0.00884,0.001406,0.001406,0.001406
26,1679.69,1.80552,1.68674,0.00771,0.52226,0.4958,0.51179,0.25706,1.85898,1.68701,0.00967,0.00138125,0.00138125,0.00138125
27,1731.71,1.80691,1.66035,0.00784,0.53903,0.46639,0.49806,0.26106,1.77586,1.86103,0.00866,0.0013565,0.0013565,0.0013565
28,1783.22,1.78498,1.69151,0.00726,0.60821,0.53782,0.54698,0.28448,1.81071,1.56184,0.00911,0.00133175,0.00133175,0.00133175
29,1834.56,1.74686,1.62671,0.00831,0.58001,0.5,0.54747,0.28921,1.83374,1.54504,0.00935,0.001307,0.001307,0.001307
30,1886.4,1.75263,1.64359,0.00783,0.59131,0.4958,0.52142,0.2678,1.86153,1.60347,0.00949,0.00128225,0.00128225,0.00128225
31,1937.64,1.74492,1.68553,0.00809,0.51606,0.43697,0.45684,0.23927,1.79436,1.78368,0.00894,0.0012575,0.0012575,0.0012575
32,1989.19,1.69384,1.63318,0.00789,0.58724,0.46627,0.53262,0.27762,1.76143,1.57984,0.00924,0.00123275,0.00123275,0.00123275
33,2040.69,1.74836,1.59644,0.00771,0.5384,0.44118,0.46186,0.23918,1.80762,1.96792,0.00946,0.001208,0.001208,0.001208
34,2092.2,1.74408,1.63353,0.00778,0.60456,0.4958,0.56197,0.29765,1.72134,1.55923,0.00886,0.00118325,0.00118325,0.00118325
35,2143.87,1.69158,1.51634,0.00738,0.58719,0.54202,0.57943,0.30562,1.78989,1.48011,0.00945,0.0011585,0.0011585,0.0011585
36,2195.49,1.66835,1.4932,0.0075,0.60252,0.49679,0.56753,0.30919,1.73593,1.57813,0.0083,0.00113375,0.00113375,0.00113375
37,2247.23,1.67475,1.44421,0.00709,0.59415,0.53515,0.55024,0.29419,1.77226,1.58206,0.00895,0.001109,0.001109,0.001109
38,2299.13,1.69813,1.49508,0.00733,0.58968,0.5495,0.55848,0.29345,1.73319,1.58211,0.0091,0.00108425,0.00108425,0.00108425
39,2351.12,1.68136,1.48378,0.0068,0.64483,0.4916,0.57118,0.31855,1.68214,1.50685,0.00843,0.0010595,0.0010595,0.0010595
40,2403.69,1.6438,1.41513,0.00686,0.66883,0.49217,0.5804,0.30895,1.68984,1.55981,0.00829,0.00103475,0.00103475,0.00103475
41,2455.1,1.66909,1.37225,0.00719,0.59013,0.56866,0.59215,0.32669,1.71079,1.51689,0.0086,0.00101,0.00101,0.00101
42,2506.97,1.64547,1.40874,0.00729,0.59478,0.49954,0.53727,0.30167,1.67622,1.55965,0.00828,0.00098525,0.00098525,0.00098525
43,2558.64,1.62475,1.4049,0.00663,0.61116,0.53492,0.58115,0.31975,1.7198,1.41145,0.00836,0.0009605,0.0009605,0.0009605
44,2610.4,1.64656,1.39043,0.00689,0.57427,0.58824,0.57297,0.31189,1.66387,1.52109,0.00819,0.00093575,0.00093575,0.00093575
45,2662.24,1.59685,1.34191,0.0069,0.66867,0.51681,0.5713,0.31031,1.74095,1.53012,0.00864,0.000911,0.000911,0.000911
46,2713.74,1.58062,1.3253,0.00684,0.6456,0.54202,0.5841,0.31067,1.73733,1.39315,0.009,0.00088625,0.00088625,0.00088625
47,2765.34,1.59892,1.33784,0.00638,0.59344,0.58265,0.60512,0.3175,1.718,1.48045,0.00888,0.0008615,0.0008615,0.0008615
48,2818.09,1.57744,1.30491,0.00686,0.58272,0.58676,0.6008,0.32978,1.68845,1.50429,0.00895,0.00083675,0.00083675,0.00083675
49,2870.52,1.54308,1.28,0.00718,0.61837,0.5855,0.60471,0.32428,1.69204,1.45732,0.00874,0.000812,0.000812,0.000812
50,2922.54,1.56618,1.26225,0.00622,0.60618,0.5042,0.5454,0.28302,1.74783,1.57609,0.00911,0.00078725,0.00078725,0.00078725
51,2974.37,1.54262,1.23594,0.00646,0.64079,0.55042,0.59601,0.33009,1.69714,1.45423,0.00868,0.0007625,0.0007625,0.0007625
52,3025.9,1.53311,1.22741,0.00638,0.73631,0.47899,0.59175,0.32289,1.69075,1.4619,0.00862,0.00073775,0.00073775,0.00073775
53,3077.38,1.52936,1.14528,0.0066,0.70217,0.52101,0.5658,0.298,1.68621,1.47143,0.00856,0.000713,0.000713,0.000713
54,3130.3,1.49744,1.18935,0.00619,0.6939,0.52521,0.62207,0.34822,1.65897,1.4931,0.00838,0.00068825,0.00068825,0.00068825
55,3183.96,1.48248,1.16837,0.00655,0.75545,0.50621,0.61505,0.34151,1.67778,1.47933,0.00833,0.0006635,0.0006635,0.0006635
56,3236.25,1.43539,1.15477,0.00627,0.67585,0.54315,0.60797,0.31916,1.67014,1.4356,0.008,0.00063875,0.00063875,0.00063875
57,3288.39,1.52525,1.151,0.00594,0.63171,0.57656,0.61602,0.33582,1.66434,1.424,0.0084,0.000614,0.000614,0.000614
58,3339.84,1.46603,1.14332,0.00644,0.63459,0.54202,0.59307,0.32839,1.67528,1.49609,0.00822,0.00058925,0.00058925,0.00058925
59,3391.67,1.4234,1.09986,0.006,0.5857,0.60084,0.61408,0.33728,1.70215,1.39302,0.00853,0.0005645,0.0005645,0.0005645
60,3443.76,1.48384,1.11281,0.00612,0.60464,0.60504,0.6029,0.324,1.65621,1.50496,0.00779,0.00053975,0.00053975,0.00053975
61,3496.28,1.44406,1.06473,0.00568,0.58683,0.61765,0.62644,0.34624,1.65575,1.44987,0.00802,0.000515,0.000515,0.000515
62,3548.11,1.43595,1.07715,0.00632,0.65897,0.56303,0.60968,0.33283,1.6593,1.455,0.00796,0.00049025,0.00049025,0.00049025
63,3599.68,1.43316,1.06396,0.00619,0.61254,0.55134,0.61203,0.34559,1.60614,1.46595,0.00751,0.0004655,0.0004655,0.0004655
64,3651.56,1.38161,1.0479,0.00593,0.65176,0.56723,0.61117,0.33172,1.68081,1.39863,0.00848,0.00044075,0.00044075,0.00044075
65,3703.16,1.41037,1.0513,0.00634,0.66038,0.61345,0.62747,0.34102,1.68352,1.42528,0.00838,0.000416,0.000416,0.000416
66,3754.84,1.37772,1.00275,0.00552,0.69021,0.59244,0.62578,0.34248,1.63225,1.40258,0.0081,0.00039125,0.00039125,0.00039125
67,3806.66,1.36036,0.98052,0.00509,0.60236,0.60504,0.6114,0.32689,1.67226,1.45029,0.00814,0.0003665,0.0003665,0.0003665
68,3858.37,1.40804,0.99579,0.00526,0.7028,0.56723,0.61472,0.33449,1.69609,1.43923,0.00826,0.00034175,0.00034175,0.00034175
69,3910.11,1.40534,1.0014,0.00574,0.66134,0.59078,0.6131,0.33943,1.66214,1.41965,0.0079,0.000317,0.000317,0.000317
70,3962.03,1.37746,0.98139,0.00646,0.65275,0.56723,0.6046,0.32464,1.68339,1.49495,0.00813,0.00029225,0.00029225,0.00029225
71,4009.1,1.36212,0.93277,0.00622,0.64701,0.60072,0.6209,0.3411,1.70749,1.36673,0.00837,0.0002675,0.0002675,0.0002675
72,4055.63,1.33172,0.87051,0.00606,0.64252,0.5815,0.61006,0.32959,1.68405,1.42809,0.00836,0.00024275,0.00024275,0.00024275
73,4102.35,1.32164,0.83126,0.00628,0.63031,0.61345,0.61337,0.3409,1.66715,1.41287,0.00823,0.000218,0.000218,0.000218
74,4149.09,1.28629,0.81481,0.00604,0.61765,0.60084,0.61654,0.34605,1.66307,1.44532,0.00806,0.00019325,0.00019325,0.00019325
