epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5135,1.82061,5.45678,0.00752,0.22351,0.27818,0.166,0.06671,1.92869,3.81301,0.00981,0.000660606,0.000660606,0.000660606
2,101.038,2.08269,3.01202,0.00909,0.22766,0.29412,0.14908,0.05704,2.12298,2.9237,0.01096,0.00131085,0.00131085,0.00131085
3,148.117,2.25563,2.86619,0.01,0.28228,0.24788,0.17281,0.05839,2.29021,2.84237,0.01166,0.00194459,0.00194459,0.00194459
4,195.274,2.26487,2.76442,0.01034,0.45953,0.2521,0.28568,0.12113,2.19972,2.61877,0.01225,0.00192575,0.00192575,0.00192575
5,243.78,2.19294,2.58104,0.00956,0.37949,0.36555,0.33709,0.12736,2.26358,2.55202,0.01211,0.001901,0.001901,0.001901
6,292.485,2.18666,2.69743,0.00979,0.42569,0.31092,0.31642,0.12388,2.1639,2.52165,0.01224,0.00187625,0.00187625,0.00187625
7,341.001,2.16249,2.45082,0.00881,0.38416,0.34454,0.33602,0.13409,2.1468,2.50245,0.01072,0.0018515,0.0018515,0.0018515
8,390.585,2.13495,2.43503,0.00892,0.55789,0.34034,0.39218,0.18197,1.96779,2.23287,0.0105,0.00182675,0.00182675,0.00182675
9,561.239,2.06192,2.27089,0.00862,0.4817,0.41597,0.39103,0.19461,1.92309,2.20197,0.00971,0.001802,0.001802,0.001802
10,775.067,2.05726,2.30788,0.00883,0.39928,0.42437,0.38959,0.18443,1.94041,2.31763,0.01027,0.00177725,0.00177725,0.00177725
11,992.437,2.12884,2.31954,0.0102,0.50002,0.39916,0.38468,0.17332,2.06851,2.20504,0.01023,0.0017525,0.0017525,0.0017525
12,1201.47,2.04957,2.22487,0.00982,0.59524,0.39496,0.46485,0.22311,1.98878,1.81645,0.01072,0.00172775,0.00172775,0.00172775
13,1411.95,2.08222,2.18632,0.00921,0.5297,0.39076,0.41273,0.2021,1.94477,1.9037,0.00957,0.001703,0.001703,0.001703
14,1580.91,1.99032,2.12491,0.00909,0.49047,0.41597,0.42775,0.20884,1.91476,1.99389,0.00976,0.00167825,0.00167825,0.00167825
15,1628.4,1.98844,2.13291,0.00899,0.55289,0.43126,0.45913,0.22988,1.87133,1.89728,0.00976,0.0016535,0.0016535,0.0016535
16,1675.59,2.02022,2.03655,0.00809,0.51584,0.47005,0.49658,0.23433,1.93029,1.78111,0.00963,0.00162875,0.00162875,0.00162875
17,1723.1,1.98058,2.07623,0.00889,0.49994,0.39496,0.407,0.19907,1.88659,2.33236,0.00966,0.001604,0.001604,0.001604
18,1770.85,1.94539,2.076,0.00846,0.42377,0.45733,0.42177,0.20176,1.88785,2.07964,0.00985,0.00157925,0.00157925,0.00157925
19,1818.34,1.9034,1.94819,0.00827,0.52034,0.48319,0.48151,0.24916,1.80286,1.65985,0.00947,0.0015545,0.0015545,0.0015545
20,1867.7,1.9205,1.90847,0.00817,0.57987,0.5042,0.52434,0.27281,1.8138,1.61044,0.00932,0.00152975,0.00152975,0.00152975
21,1916.94,1.88308,1.93412,0.00816,0.66603,0.45249,0.50121,0.27,1.81226,1.78674,0.00937,0.001505,0.001505,0.001505
22,1967.05,1.87533,1.82989,0.00802,0.51926,0.47059,0.48699,0.2487,1.84631,1.71224,0.00972,0.00148025,0.00148025,0.00148025
23,2016.22,1.80648,1.83903,0.00787,0.51045,0.5,0.49545,0.24345,1.84773,1.67352,0.00896,0.0014555,0.0014555,0.0014555
24,2065.62,1.87078,1.84405,0.00761,0.66439,0.39916,0.48501,0.25023,1.80542,1.87585,0.0092,0.00143075,0.00143075,0.00143075
25,2113.67,1.86038,1.8127,0.00741,0.53271,0.4916,0.52507,0.24924,1.82974,1.6876,0.00907,0.001406,0.001406,0.001406
