epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.175,2.03107,4.17287,1.57923,1,0.0042,0.005,0.0025,2.24245,4.54221,1.56419,0.000327273,0.000327273,0.0676
2,680.133,2.09727,2.98556,1.57131,0.07299,0.05882,0.02052,0.00826,1.92988,3.73307,1.63342,0.000659961,0.000659961,0.0345994
3,821.672,2.04336,2.67012,1.60583,0.26497,0.18487,0.12107,0.0595,1.86754,3.07096,1.55717,0.00099006,0.00099006,0.00159612
4,911.384,2.04362,2.46903,1.52251,0.28639,0.23101,0.18472,0.08847,1.91834,4.25631,1.71244,0.000991232,0.000991232,0.000991232
5,1131.54,2.1116,2.52139,1.54602,0.1331,0.13866,0.07521,0.02794,1.97484,7.4196,1.63802,0.000984449,0.000984449,0.000984449
6,1354.27,2.11219,2.39853,1.52269,0.40435,0.29832,0.28987,0.14111,1.84384,2.33651,1.48995,0.000975773,0.000975773,0.000975773
7,1566.53,1.98921,2.34186,1.51052,0.32432,0.39076,0.31444,0.14294,1.80822,1.94967,1.45348,0.000965239,0.000965239,0.000965239
8,1729.45,1.91834,2.1812,1.51837,0.48851,0.37815,0.36095,0.16551,1.73666,1.90068,1.41627,0.000952889,0.000952889,0.000952889
9,1836.51,2.05153,2.25419,1.45761,0.43568,0.46064,0.39732,0.21092,1.62351,2.56635,1.36371,0.000938772,0.000938772,0.000938772
10,2075.74,1.91615,2.16588,1.46761,0.52545,0.36555,0.3924,0.19561,1.70655,1.97551,1.35395,0.000922942,0.000922942,0.000922942
11,2362.03,1.96969,2.12283,1.49497,0.47754,0.40756,0.42117,0.21885,1.66883,1.9042,1.38173,0.000905463,0.000905463,0.000905463
12,2534.36,1.83548,2.06457,1.46824,0.63297,0.41176,0.48362,0.24284,1.69315,1.72132,1.42087,0.000886404,0.000886404,0.000886404
13,178.598,1.92228,1.99559,1.47549,0.62022,0.44118,0.47681,0.22863,1.75866,1.67532,1.39142,0.000865839,0.000865839,0.000865839
14,476.027,1.88401,2.05426,1.44475,0.51894,0.417,0.43808,0.21481,1.70455,1.73125,1.41344,0.000843851,0.000843851,0.000843851
15,619.491,1.81925,1.9494,1.43555,0.6049,0.38655,0.47353,0.2304,1.80017,1.67643,1.38081,0.000820525,0.000820525,0.000820525
16,707.432,1.84576,1.86045,1.38651,0.55793,0.38655,0.43372,0.2264,1.61185,1.75639,1.35972,0.000795954,0.000795954,0.000795954
17,932.905,1.86332,1.88857,1.41742,0.49194,0.4638,0.47628,0.24991,1.59576,1.62591,1.37628,0.000770234,0.000770234,0.000770234
18,1239.6,1.88817,1.8716,1.39895,0.62305,0.44448,0.48773,0.24261,1.64844,1.68053,1.34297,0.000743468,0.000743468,0.000743468
19,1832.67,1.77103,1.84052,1.35899,0.47315,0.46218,0.45768,0.21915,1.65991,1.68252,1.33187,0.000715761,0.000715761,0.000715761
20,2014.4,1.69119,1.76693,1.35228,0.57715,0.46218,0.47667,0.24929,1.65056,1.66762,1.36255,0.000687222,0.000687222,0.000687222
21,2124.83,1.80609,1.73813,1.33138,0.55227,0.45608,0.51346,0.27672,1.55101,1.51872,1.29341,0.000657963,0.000657963,0.000657963
22,2405.92,1.68346,1.7341,1.34008,0.58604,0.42857,0.48456,0.26225,1.57592,1.54868,1.3099,0.000628101,0.000628101,0.000628101
23,2720.56,1.69211,1.70495,1.34159,0.4911,0.51261,0.47664,0.25497,1.55219,1.56306,1.31131,0.000597754,0.000597754,0.000597754
24,2891.81,1.62076,1.68057,1.33442,0.64172,0.48319,0.56113,0.30176,1.55293,1.52547,1.28068,0.00056704,0.00056704,0.00056704
25,2976.1,1.64417,1.63247,1.30988,0.51856,0.52101,0.5221,0.27818,1.59209,1.5362,1.31611,0.000536081,0.000536081,0.000536081
26,3213.32,1.81099,1.70968,1.35805,0.51425,0.46707,0.49063,0.2395,1.63161,1.58773,1.33395,0.000505,0.000505,0.000505
27,3579.33,1.70382,1.69036,1.33365,0.6083,0.47899,0.53487,0.2965,1.51353,1.46271,1.27992,0.000473919,0.000473919,0.000473919
28,3804.84,1.91301,1.73421,1.30068,0.63221,0.4916,0.55702,0.29291,1.56096,1.4575,1.28932,0.00044296,0.00044296,0.00044296
29,3998.44,1.7274,1.62393,1.31299,0.52675,0.4958,0.5132,0.26662,1.5604,1.47596,1.2955,0.000412246,0.000412246,0.000412246
30,4445.25,1.62111,1.63894,1.32677,0.6566,0.47899,0.5565,0.29689,1.56741,1.46363,1.30342,0.000381899,0.000381899,0.000381899
31,4584.37,1.7365,1.64229,1.31038,0.61937,0.48739,0.53924,0.28659,1.53558,1.51017,1.31509,0.000352037,0.000352037,0.000352037
32,4820.6,1.76104,1.61681,1.29823,0.54539,0.51261,0.52234,0.26749,1.60466,1.5317,1.36605,0.000322778,0.000322778,0.000322778
33,4897.28,1.71487,1.62138,1.31604,0.56215,0.55563,0.55242,0.30643,1.51354,1.40063,1.27517,0.000294239,0.000294239,0.000294239
34,235.378,1.61021,1.49986,1.28023,0.63238,0.49873,0.56209,0.29303,1.58346,1.4745,1.31992,0.000266532,0.000266532,0.000266532
35,547.931,1.58151,1.48973,1.26172,0.65016,0.51537,0.56215,0.28817,1.5827,1.46643,1.31924,0.000239766,0.000239766,0.000239766
36,695.941,1.49514,1.42334,1.23913,0.58515,0.5084,0.56372,0.30739,1.51478,1.44234,1.28764,0.000214046,0.000214046,0.000214046
37,789.516,1.54699,1.41947,1.2261,0.65322,0.51261,0.5855,0.31633,1.53592,1.41563,1.28765,0.000189475,0.000189475,0.000189475
38,1020.61,1.57092,1.44402,1.23749,0.57914,0.56723,0.56044,0.30488,1.48023,1.36786,1.27279,0.000166149,0.000166149,0.000166149
39,1264.96,1.61021,1.38752,1.23864,0.61003,0.54553,0.59974,0.31498,1.54323,1.38845,1.29761,0.000144161,0.000144161,0.000144161
40,1498.57,1.4764,1.35957,1.19662,0.60521,0.5475,0.59478,0.32252,1.47529,1.35069,1.25775,0.000123596,0.000123596,0.000123596
41,1647.42,1.56935,1.51517,1.24394,0.57894,0.57143,0.59185,0.31596,1.49958,1.37855,1.25565,0.000104537,0.000104537,0.000104537
42,1937.37,1.52441,1.45237,1.2556,0.63193,0.54104,0.60206,0.33136,1.47558,1.36273,1.24437,8.70577e-05,8.70577e-05,8.70577e-05
43,2397.45,1.55598,1.41054,1.21011,0.58126,0.55991,0.5851,0.30624,1.48854,1.39064,1.25567,7.12282e-05,7.12282e-05,7.12282e-05
44,2665.37,1.5041,1.40323,1.22083,0.57647,0.57983,0.60145,0.32499,1.4772,1.34216,1.25287,5.71106e-05,5.71106e-05,5.71106e-05
45,2923.77,1.51902,1.37079,1.22953,0.59891,0.58824,0.60011,0.33045,1.46718,1.32371,1.24651,4.47606e-05,4.47606e-05,4.47606e-05
46,3123.68,1.46415,1.34211,1.17959,0.56839,0.62185,0.59501,0.31378,1.49308,1.36404,1.25636,3.4227e-05,3.4227e-05,3.4227e-05
47,3381.73,1.46565,1.42371,1.21942,0.57729,0.60251,0.59685,0.31657,1.49268,1.35847,1.25397,2.55513e-05,2.55513e-05,2.55513e-05
48,3858.22,1.4729,1.39552,1.19942,0.60197,0.57563,0.59456,0.32257,1.47901,1.3333,1.24575,1.87678e-05,1.87678e-05,1.87678e-05
49,4183.67,1.46056,1.39306,1.22745,0.6102,0.56566,0.59811,0.32897,1.47589,1.32695,1.24402,1.39032e-05,1.39032e-05,1.39032e-05
50,4416.33,1.50024,1.35436,1.21328,0.60984,0.57794,0.59535,0.32657,1.471,1.31756,1.24319,1.09768e-05,1.09768e-05,1.09768e-05
