epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.542,1.90842,7.18853,0.00817,0.1597,0.18487,0.07277,0.03137,2.0115,3.89676,0.01106,0.000664815,0.000664815,0.000664815
2,329.805,2.19861,2.97231,0.01036,0.26931,0.2521,0.19589,0.0736,2.23217,2.90541,0.01187,0.001315,0.001315,0.001315
3,477.172,2.23633,2.71434,0.01033,0.32463,0.36555,0.28394,0.11618,2.16722,2.47523,0.01113,0.00194869,0.00194869,0.00194869
4,621.311,2.18926,2.63332,0.01019,0.35701,0.29832,0.25922,0.10434,2.06912,2.66702,0.01005,0.00192575,0.00192575,0.00192575
5,763.235,2.18177,2.48858,0.00984,0.44066,0.31092,0.28986,0.13415,2.16481,2.75676,0.01199,0.001901,0.001901,0.001901
6,900.388,2.14821,2.50023,0.00955,0.30399,0.29412,0.21954,0.08871,2.13413,2.59173,0.01088,0.00187625,0.00187625,0.00187625
7,1036.97,2.12296,2.5181,0.01033,0.40831,0.37395,0.33091,0.1364,2.03163,2.28488,0.01007,0.0018515,0.0018515,0.0018515
8,1174.65,2.07949,2.42153,0.00908,0.54235,0.29378,0.34138,0.15221,1.92566,2.40074,0.00983,0.00182675,0.00182675,0.00182675
9,1311.08,2.0846,2.36449,0.00948,0.53608,0.31513,0.39872,0.18465,1.96421,2.25835,0.01067,0.001802,0.001802,0.001802
10,1447.29,2.01657,2.29671,0.00944,0.38939,0.42017,0.3716,0.18193,1.89924,2.06625,0.00944,0.00177725,0.00177725,0.00177725
11,1584.88,2.03444,2.21958,0.0094,0.37588,0.39076,0.36199,0.16199,1.88601,2.26007,0.00927,0.0017525,0.0017525,0.0017525
12,1721.63,1.97516,2.22239,0.00903,0.43492,0.39916,0.3919,0.18219,2.01769,2.31607,0.01037,0.00172775,0.00172775,0.00172775
13,1858.66,1.99527,2.14018,0.00874,0.4563,0.39495,0.35833,0.17025,2.0127,2.04328,0.01042,0.001703,0.001703,0.001703
14,1995.71,1.98818,2.12835,0.00901,0.53075,0.39916,0.43561,0.22422,1.87636,1.96878,0.00897,0.00167825,0.00167825,0.00167825
15,2132.14,1.95931,2.12385,0.00883,0.49797,0.4126,0.42643,0.21464,1.86193,2.00669,0.00975,0.0016535,0.0016535,0.0016535
16,2268.43,1.94465,2.05472,0.00858,0.49283,0.42857,0.45177,0.22163,1.86578,1.85716,0.00902,0.00162875,0.00162875,0.00162875
17,2404.95,1.93322,2.03387,0.00852,0.48221,0.44958,0.46108,0.22539,1.83746,1.85548,0.00897,0.001604,0.001604,0.001604
18,2541.54,1.94315,1.96509,0.00861,0.51553,0.42437,0.45061,0.227,1.84177,1.80007,0.00901,0.00157925,0.00157925,0.00157925
19,2678.95,1.94146,1.936,0.00857,0.52715,0.43563,0.44409,0.22102,1.98138,1.8604,0.0097,0.0015545,0.0015545,0.0015545
20,2814.79,1.91426,1.9242,0.00854,0.50638,0.4181,0.46909,0.22773,1.90375,1.79949,0.00946,0.00152975,0.00152975,0.00152975
21,2951.09,1.8883,1.86411,0.00821,0.6259,0.44118,0.50749,0.24944,1.9382,1.78798,0.00985,0.001505,0.001505,0.001505
22,3087.66,1.91451,1.88397,0.00879,0.51276,0.43697,0.47401,0.24297,1.81173,1.85485,0.00853,0.00148025,0.00148025,0.00148025
23,3223.59,1.86385,1.89284,0.00807,0.51939,0.44046,0.46264,0.25921,1.75498,1.74776,0.00883,0.0014555,0.0014555,0.0014555
24,3359.98,1.84958,1.86649,0.00838,0.53776,0.4595,0.47445,0.21982,1.84689,1.76868,0.0094,0.00143075,0.00143075,0.00143075
25,3495.96,1.88276,1.84355,0.00829,0.5633,0.44984,0.49815,0.27589,1.70684,1.72081,0.00814,0.001406,0.001406,0.001406
26,3633.25,1.85787,1.86048,0.00837,0.5372,0.45378,0.50242,0.2512,1.77411,1.74009,0.00877,0.00138125,0.00138125,0.00138125
27,3769.33,1.84436,1.84011,0.00822,0.55898,0.50594,0.52799,0.2825,1.75754,1.57902,0.00839,0.0013565,0.0013565,0.0013565
28,3905.18,1.87206,1.80265,0.0086,0.61902,0.44538,0.52167,0.26808,1.8472,1.66693,0.00916,0.00133175,0.00133175,0.00133175
29,4042.19,1.86077,1.74496,0.00821,0.52738,0.45479,0.48512,0.26916,1.75143,1.7721,0.00838,0.001307,0.001307,0.001307
30,4178.07,1.83685,1.76216,0.00808,0.5417,0.54202,0.53931,0.28371,1.71376,1.64776,0.00846,0.00128225,0.00128225,0.00128225
31,4314.14,1.81675,1.73464,0.0077,0.45355,0.55101,0.50494,0.26303,1.70277,1.81519,0.00857,0.0012575,0.0012575,0.0012575
32,4450.6,1.83535,1.72646,0.00774,0.5484,0.45798,0.49871,0.27557,1.75711,1.75051,0.0087,0.00123275,0.00123275,0.00123275
33,4585.5,1.80355,1.72411,0.00791,0.52158,0.4916,0.52829,0.29394,1.68701,1.5862,0.00785,0.001208,0.001208,0.001208
34,4721.52,1.80159,1.70648,0.00804,0.50802,0.48593,0.49869,0.29433,1.67389,1.63991,0.00796,0.00118325,0.00118325,0.00118325
